Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L- Glutamine,230810_Std_4uMStdsMix1InH2O_1,"L- Glutamine 0(15N), 0(13C)",11.49,115902112,850925,7844254,-3.2,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix1InH2O_2,"L- Glutamine 0(15N), 0(13C)",11.31,109840864,297098,6244877,-3.3,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix1InH2O_3,"L- Glutamine 0(15N), 0(13C)",10.95,130610168,1321648,6268384,-3.3,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix1InMatrix_1,"L- Glutamine 0(15N), 0(13C)",11.54,145746544,0,13416268,-3,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix1InMatrix_2,"L- Glutamine 0(15N), 0(13C)",11.39,117956848,1483034,11726402,-3.3,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix1InMatrix_3,"L- Glutamine 0(15N), 0(13C)",11.19,130295024,1143263,13479504,-3,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix2InH2O_1,"L- Glutamine 0(15N), 0(13C)",11.74,17553,0,11540,-2.8,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix2InH2O_2,"L- Glutamine 0(15N), 0(13C)",11.74,22825,0,24587,-0.1,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix2InH2O_3,"L- Glutamine 0(15N), 0(13C)",#N/A,#N/A,#N/A,#N/A,#N/A,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix2InMatrix_1,"L- Glutamine 0(15N), 0(13C)",11.53,24701278,333641,2278071,-3,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix2InMatrix_2,"L- Glutamine 0(15N), 0(13C)",11.38,16760680,228139,1603374,-2.9,L- Glutamine
L- Glutamine,230810_Std_4uMStdsMix2InMatrix_3,"L- Glutamine 0(15N), 0(13C)",11.16,18142456,0,1950243,-3.2,L- Glutamine
L- Glutamine,230810_Std_H2OinMatrix_1,"L- Glutamine 0(15N), 0(13C)",11.56,21649446,232279,2081909,-3.1,L- Glutamine
L- Glutamine,230810_Std_H2OinMatrix_2,"L- Glutamine 0(15N), 0(13C)",11.44,16958098,54455,1694979,-3.4,L- Glutamine
L- Glutamine,230810_Std_H2OinMatrix_3,"L- Glutamine 0(15N), 0(13C)",11.2,19540232,0,2062240,-3.3,L- Glutamine
L- Glutamine,230810_Blk_G5_NFEX_T24_NH4_Blk_A,"L- Glutamine 0(15N), 0(13C)",11.5,1539045,0,168248,-2.9,L- Glutamine
L- Glutamine,230810_Blk_G5_NFEX_T24_NH4_Blk_B,"L- Glutamine 0(15N), 0(13C)",11.38,652968,0,73410,-3.2,L- Glutamine
L- Glutamine,230810_Blk_G5_NFEX_T24_NO3_Blk_A,"L- Glutamine 0(15N), 0(13C)",11.38,1175004,0,119017,-3.2,L- Glutamine
L- Glutamine,230810_Blk_G5_NFEX_T24_Urea_Blk_A,"L- Glutamine 0(15N), 0(13C)",11.5,2571400,0,260207,-3.2,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full1,"L- Glutamine 0(15N), 0(13C)",11.53,33062088,0,3065669,-3.2,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full2,"L- Glutamine 0(15N), 0(13C)",11.57,34714592,117006,3191966,-2.4,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full3,"L- Glutamine 0(15N), 0(13C)",11.5,23297650,129515,2340613,-3.3,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full4,"L- Glutamine 0(15N), 0(13C)",11.5,32924440,140609,3367079,-2.8,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full5,"L- Glutamine 0(15N), 0(13C)",11.49,23354768,228347,2357709,-3.3,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full6,"L- Glutamine 0(15N), 0(13C)",11.46,20541020,0,2101310,-3.1,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full7,"L- Glutamine 0(15N), 0(13C)",11.48,20811882,358544,2170729,-3.2,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full8,"L- Glutamine 0(15N), 0(13C)",11.38,26636486,136832,2925948,-3,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full9,"L- Glutamine 0(15N), 0(13C)",11.36,29170794,450458,2978954,-3.3,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full10,"L- Glutamine 0(15N), 0(13C)",11.33,32664800,0,3503006,-3.2,L- Glutamine
L- Glutamine,230810_Poo_G5_NFEX_Full11,"L- Glutamine 0(15N), 0(13C)",11.3,30302000,327727,3141961,-3.3,L- Glutamine
L- Glutamine,230810_Smp_G5_NFEX_T0_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.53,91700040,1591082,8743875,-3.1,L- Glutamine
L- Glutamine,230810_Smp_G5_NFEX_T0_Metab_B,"L- Glutamine 0(15N), 0(13C)",11.51,115544192,1578302,11251095,-3.3,L- Glutamine
L- Glutamine,230810_Smp_G5_NFEX_T0_Metab_C,"L- Glutamine 0(15N), 0(13C)",11.51,114844248,1103535,10514440,-3.3,L- Glutamine
L- Glutamine,230810_Smp_G5_NFEX_T6_NH4_Metab_A,"L- Glutamine 0(15N), 0(13C)",11.33,9835921,116322,958863,-3.1,L- Glutamine
