filename,compound_name,area
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",22658.744387646864
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Choline 0(15N), 0(13C)",1396.1528513481499
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Dimethylglycine 0(15N), 0(13C)",2604882.2443018844
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Dimethylglycine 0(15N), 1(13C)",105894.56064384076
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Dimethylglycine 1(15N), 0(13C)",17373.39360022223
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Ectoine 0(15N), 0(13C)",53270.379465788115
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Ectoine 0(15N), 1(13C)",2003.5274131673636
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Ectoine 1(15N), 0(13C)",4470.75212345302
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Ectoine 2(15N), 0(13C)",0
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Glycine 0(15N), 0(13C)",13102.80094173143
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Lysine 0(15N), 0(13C)",12705.489632691662
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Proline 0(15N), 0(13C)",127482.91452721995
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Proline 0(15N), 1(13C)",4381.2356244168495
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Proline 1(15N), 0(13C)",18664.734062932424
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Proline Betaine 0(15N), 0(13C)",25037.02847223341
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",22324.145639144932
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Carnitine 0(15N), 0(13C)",17362.751414497867
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Choline 0(15N), 0(13C)",0
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Dimethylglycine 0(15N), 0(13C)",2444830.8359003817
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Dimethylglycine 0(15N), 1(13C)",100883.92774159352
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Dimethylglycine 1(15N), 0(13C)",17545.98115617763
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Ectoine 0(15N), 0(13C)",44786.301031942494
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Ectoine 0(15N), 1(13C)",0
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Ectoine 1(15N), 0(13C)",4317.089773358498
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Glycine 0(15N), 0(13C)",7352.604141357904
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline 0(15N), 0(13C)",108251.0485880359
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline 0(15N), 1(13C)",2570.3373479289785
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline 1(15N), 0(13C)",18310.33402658826
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline Betaine 0(15N), 0(13C)",23746.772958611495
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline Betaine 0(15N), 1(13C)",0
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline Betaine 1(15N), 0(13C)",12039.2304200625
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Proline Betaine 1(15N), 1(13C)",0
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",768846.0535759145
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",23368.763564954304
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",19094.876692979615
230810_Blk_G5_NFEX_T24_NO3_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",17183.342349741368
230810_Blk_G5_NFEX_T24_NO3_Blk_A.mzML,"Dimethylglycine 0(15N), 0(13C)",2395652.1986484216
