filename,compound_name,bmised_area
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",63579591.07091523
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",45481013.818556204
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",526026920.61525804
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",1146128.9410174473
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",4073407.673827847
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",2110534.908637072
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",23534724417386.71
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",24434798754355.082
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",8633891806880.256
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",2603216986.224897
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",3708999.8386579026
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",3452305329.5630107
230831_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",1639912.857018841
230831_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",4289411.10683333
230831_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",3600243.2643761863
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 0(15N), 0(13C)",1636995.8381424716
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 0(15N), 0(13C)",1990446.7368216114
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 0(15N), 0(13C)",2066032.9055980893
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 0(15N), 0(13C)",6903646.875248725
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 0(15N), 0(13C)",125024227.9514268
230831_Poo_G5_NFEX-CatEx_Full6,"Glycine betaine 0(15N), 0(13C)",9656495.58239404
230831_Poo_G5_NFEX-CatEx_Full7,"Glycine betaine 0(15N), 0(13C)",4145004.5922988546
230831_Poo_G5_NFEX-CatEx_Full8,"Glycine betaine 0(15N), 0(13C)",3870348.6268770834
230831_Poo_G5_NFEX-CatEx_Full9,"Glycine betaine 0(15N), 0(13C)",7784389.494283873
230831_Poo_G5_NFEX-CatEx_Full10,"Glycine betaine 0(15N), 0(13C)",6660781.975386642
230831_Poo_G5_NFEX-CatEx_Full11,"Glycine betaine 0(15N), 0(13C)",4942358.920602874
230831_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 0(13C)",694311.6005341421
230831_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 0(13C)",2349922.0553508447
230831_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 0(13C)",1876360.7902065015
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",343455.2745169165
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",10679474.644275429
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4603056.290787932
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",201696092.2279767
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",388237.6999045262
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",10190281.486171896
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",1755422.0235462368
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",161509500.79773962
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",3583736.7562450124
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",1083891.7232924958
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",430371.2950128843
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",81165790.2799248
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",5283556.892160392
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",1509905.0555442604
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",9465028.055759532
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",1729586.5071562147
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",5131152.436461544
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",2429655.2619915367
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4992671.8658636995
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4139327.154768991
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",3435751.3534453074
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",701900.1456267658
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",49904.32562030349
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",289932.422810817
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",3094026.9046309874
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4026050.607351336
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",34191453.08565112
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",166249180.10853353
230831_Smp_LabBlk_1_A,"Glycine betaine 0(15N), 0(13C)",12192559.348667381
230831_Smp_LabBlk_1_B,"Glycine betaine 0(15N), 0(13C)",5306042.474215507
230831_Smp_LabBlk_1_C,"Glycine betaine 0(15N), 0(13C)",33093948.12989458
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",99334584.11457704
230831_Smp_LabBlk_2_A,"Glycine betaine 0(15N), 0(13C)",34094942.58798825
230831_Smp_LabBlk_2_B,"Glycine betaine 0(15N), 0(13C)",37823484.25369285
230831_Smp_LabBlk_2_C,"Glycine betaine 0(15N), 0(13C)",69468837.40012069
230831_Smp_LabBlk_3_A,"Glycine betaine 0(15N), 0(13C)",70266770.6330889
230831_Smp_LabBlk_3_B,"Glycine betaine 0(15N), 0(13C)",5580766.758864014
230831_Smp_LabBlk_3_C,"Glycine betaine 0(15N), 0(13C)",4091166.4570441036
230831_Smp_LabBlk_4_A,"Glycine betaine 0(15N), 0(13C)",5172674.706551489
230831_Smp_LabBlk_4_B,"Glycine betaine 0(15N), 0(13C)",3494888.664602057
230831_Smp_LabBlk_4_C,"Glycine betaine 0(15N), 0(13C)",14799527.427348664
230831_Smp_LabBlk_5_A,"Glycine betaine 0(15N), 0(13C)",10567308.124302013
230831_Smp_LabBlk_5_B,"Glycine betaine 0(15N), 0(13C)",2258347.9117643577
230831_Smp_LabBlk_5_C,"Glycine betaine 0(15N), 0(13C)",1802646.170004505
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 1(13C)",503821.5536032198
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 1(13C)",1409279.8246494094
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 1(13C)",9428868395.063234
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 1(13C)",6963701.352405271
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 1(13C)",6456661.11809683
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 1(13C)",7007049.7628962025
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 1(13C)",1270741296642.1482
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 1(13C)",1321417980863.3389
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 1(13C)",463101634178.90967
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 1(13C)",140203268.8085775
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 1(13C)",180328702.67602268
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 1(13C)",185333748.9457808
230831_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 1(13C)",20379.3208071934
230831_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 1(13C)",300735.07200057665
230831_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 1(13C)",7191549.643963991
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 0(15N), 1(13C)",6888100.867794445
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 0(15N), 1(13C)",70450.62601460234
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 0(15N), 1(13C)",7004251.822847637
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 0(15N), 1(13C)",357321.24380732275
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 0(15N), 1(13C)",6837066.934868285
230831_Poo_G5_NFEX-CatEx_Full6,"Glycine betaine 0(15N), 1(13C)",336957.2240276659
230831_Poo_G5_NFEX-CatEx_Full7,"Glycine betaine 0(15N), 1(13C)",286021.5419843441
230831_Poo_G5_NFEX-CatEx_Full8,"Glycine betaine 0(15N), 1(13C)",344156.37664188736
230831_Poo_G5_NFEX-CatEx_Full9,"Glycine betaine 0(15N), 1(13C)",263002.0016246719
230831_Poo_G5_NFEX-CatEx_Full10,"Glycine betaine 0(15N), 1(13C)",333495.6506789063
230831_Poo_G5_NFEX-CatEx_Full11,"Glycine betaine 0(15N), 1(13C)",6928508.886418613
230831_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 1(13C)",7217960.173011945
230831_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 1(13C)",9061567.223206164
230831_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 1(13C)",8738524.93547859
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",6211046.79673377
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",418658.29997363925
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",295110.60958048777
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",11315592.650966337
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",6921880.101735721
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",681978.1121580563
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",6938443.033199821
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",8985031.212720692
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",296978.32612805354
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",7027152.123002516
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",7723939.665078058
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",142822.41769660628
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",6507128.139603853
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",5473943.645335419
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",8244642.763917284
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",8270199.819581659
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",370180.8989629904
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",6181406.065424847
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",219637.05116469527
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",6828739.932367697
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",6649154.969168925
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",5388041.874973286
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",5576047.331801172
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",5987071.023265916
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",8955113.845286835
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",8892102.58811439
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",9718712.735073376
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 0(15N), 1(13C)",9231522.583855677
230831_Smp_LabBlk_1_A,"Glycine betaine 0(15N), 1(13C)",2881433.853739736
230831_Smp_LabBlk_1_B,"Glycine betaine 0(15N), 1(13C)",246239.58460486552
230831_Smp_LabBlk_1_C,"Glycine betaine 0(15N), 1(13C)",452555.36931417434
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 0(15N), 1(13C)",6066556.020528654
230831_Smp_LabBlk_2_A,"Glycine betaine 0(15N), 1(13C)",1917965.1411117027
230831_Smp_LabBlk_2_B,"Glycine betaine 0(15N), 1(13C)",1969154.6068816357
230831_Smp_LabBlk_2_C,"Glycine betaine 0(15N), 1(13C)",3769699.60336114
230831_Smp_LabBlk_3_A,"Glycine betaine 0(15N), 1(13C)",3929184.8089586217
230831_Smp_LabBlk_3_B,"Glycine betaine 0(15N), 1(13C)",472009.882615053
230831_Smp_LabBlk_3_C,"Glycine betaine 0(15N), 1(13C)",3630444.646296903
230831_Smp_LabBlk_4_A,"Glycine betaine 0(15N), 1(13C)",263887.18485741824
230831_Smp_LabBlk_4_B,"Glycine betaine 0(15N), 1(13C)",2372017.0370092327
230831_Smp_LabBlk_4_C,"Glycine betaine 0(15N), 1(13C)",3289426.8661254058
230831_Smp_LabBlk_5_A,"Glycine betaine 0(15N), 1(13C)",384685.57238775014
230831_Smp_LabBlk_5_B,"Glycine betaine 0(15N), 1(13C)",4046416.0122708105
230831_Smp_LabBlk_5_C,"Glycine betaine 0(15N), 1(13C)",4434578.039222177
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 1(15N), 0(13C)",NA
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 1(15N), 0(13C)",NA
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 1(15N), 0(13C)",386245453.11214447
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 1(15N), 0(13C)",4727321.980781506
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 1(15N), 0(13C)",4509301.440341981
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 1(15N), 0(13C)",3717608.4262574557
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 1(15N), 0(13C)",85944916228.63165
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 1(15N), 0(13C)",85950287737.70354
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 1(15N), 0(13C)",31107502085.8066
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 1(15N), 0(13C)",13452258.28593949
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 1(15N), 0(13C)",16421683.95662225
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 1(15N), 0(13C)",16657466.06196277
230831_Std_H2OinMatrix_1,"Glycine betaine 1(15N), 0(13C)",5197364.6186638735
230831_Std_H2OinMatrix_2,"Glycine betaine 1(15N), 0(13C)",72176.11576111695
230831_Std_H2OinMatrix_3,"Glycine betaine 1(15N), 0(13C)",43226.219676950444
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 1(15N), 0(13C)",41496.66377312167
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 1(15N), 0(13C)",48833.49996365547
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 1(15N), 0(13C)",71807.67534226982
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 1(15N), 0(13C)",5036102.933989402
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 1(15N), 0(13C)",43753.1194164521
230831_Poo_G5_NFEX-CatEx_Full6,"Glycine betaine 1(15N), 0(13C)",43457.38018403706
230831_Poo_G5_NFEX-CatEx_Full7,"Glycine betaine 1(15N), 0(13C)",5204893.124595586
230831_Poo_G5_NFEX-CatEx_Full8,"Glycine betaine 1(15N), 0(13C)",5118109.307036501
230831_Poo_G5_NFEX-CatEx_Full9,"Glycine betaine 1(15N), 0(13C)",72383.52961145002
