filename,compound_name,area,cmpd_type,samp_type,day
230831_Std_4uMStdsMix1InH2O_1,"Arsenobetaine, 13C2",9495498,IS,Std,NA
230831_Std_4uMStdsMix1InH2O_2,"Arsenobetaine, 13C2",8387652,IS,Std,NA
230831_Std_4uMStdsMix1InH2O_3,"Arsenobetaine, 13C2",443868,IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_1,"Arsenobetaine, 13C2",394202528,IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_2,"Arsenobetaine, 13C2",321432032,IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_3,"Arsenobetaine, 13C2",321553472,IS,Std,NA
230831_Std_4uMStdsMix2InH2O_1,"Arsenobetaine, 13C2",46186,IS,Std,NA
230831_Std_4uMStdsMix2InH2O_2,"Arsenobetaine, 13C2",44724,IS,Std,NA
230831_Std_4uMStdsMix2InH2O_3,"Arsenobetaine, 13C2",134040,IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_1,"Arsenobetaine, 13C2",380272256,IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_2,"Arsenobetaine, 13C2",340778688,IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_3,"Arsenobetaine, 13C2",347793856,IS,Std,NA
230831_Std_H2OinMatrix_1,"Arsenobetaine, 13C2",370845056,IS,Std,NA
230831_Std_H2OinMatrix_2,"Arsenobetaine, 13C2",328226112,IS,Std,NA
230831_Std_H2OinMatrix_3,"Arsenobetaine, 13C2",321697600,IS,Std,NA
230831_Poo_G5_NFEX-CatEx_Full1,"Arsenobetaine, 13C2",558859392,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full2,"Arsenobetaine, 13C2",532988064,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full3,"Arsenobetaine, 13C2",527539360,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full4,"Arsenobetaine, 13C2",534713696,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full5,"Arsenobetaine, 13C2",550112256,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full6,"Arsenobetaine, 13C2",524432928,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full7,"Arsenobetaine, 13C2",531548032,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full8,"Arsenobetaine, 13C2",547324608,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full9,"Arsenobetaine, 13C2",534909408,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full10,"Arsenobetaine, 13C2",537262592,IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full11,"Arsenobetaine, 13C2",530295616,IS,Poo,NA
230831_Smp_G5_NFEX_T0_Metab_A,"Arsenobetaine, 13C2",671727424,IS,Smp,0
