compound_name,filename,nM,hour
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_1,1.724917414579055,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_2,1.2339021287638636,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_3,14.271136077214022,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InMatrix_1,0.03109453421159896,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InMatrix_2,0.1105117493666898,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InMatrix_3,0.05725891526928147,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InH2O_1,638498.2242114453,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InH2O_2,662917.2849839618,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InH2O_3,234237.90688851933,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InMatrix_1,70.62540412471216,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InMatrix_2,0.1006253469802291,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InMatrix_3,93.66121239699882,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_H2OinMatrix_1,0.044490915997065894,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_H2OinMatrix_2,0.11637193306595961,NA
"Glycine betaine 0(15N), 0(13C)",230831_Std_H2OinMatrix_3,0.09767477580214064,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full1,0.044411777132317726,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full2,0.05400091729602606,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full3,0.056051573750837726,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full4,0.18729627729028084,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full5,3.391913417580482,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full6,0.26198119732004466,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full7,0.11245417726565331,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full8,0.10500274749402082,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full9,0.21119086761001413,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full10,0.1807073406817574,NA
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full11,0.13408643918044813,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T0_Metab_A,0.018836707671960152,T0
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T0_Metab_B,0.06375350026484103,T0
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T0_Metab_C,0.0509057599859445,T0
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_A,0.009317958391435295,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_B,0.2897346692890734,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_C,0.12488114224282756,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_A,5.472024844395905,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_B,0.010532907781908988,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_C,0.27646283498984775,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_Urea_Metab_A,0.04762468533295837,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_Urea_Metab_B,4.381760653906333,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_Urea_Metab_C,0.09722695342942995,T6
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_NH4_Metab_A,0.029406035451533377,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_NH4_Metab_B,0.011675994277387821,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_NH4_Metab_C,2.2020318590246366,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_NO3_Metab_A,0.14334315683222054,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_NO3_Metab_B,0.040963797986122506,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_NO3_Metab_C,0.25678667396034155,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_Urea_Metab_A,0.046923766510028456,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_Urea_Metab_B,0.13920841649705276,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T12_Urea_Metab_C,0.06591666605968483,T12
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_NH4_Metab_A,0.13545143184550573,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_NH4_Metab_B,0.11230014810786079,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_NH4_Metab_C,0.09321210221549257,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_NO3_Metab_A,0.019042585271377,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_NO3_Metab_B,0.001353906794230126,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_NO3_Metab_C,0.007865880807563943,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_A,0.08394110121000016,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_B,0.10922694983758305,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_C,0.9276157940591391,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,4.510348385362324,T24
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_1_A,0.3307847313039077,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_1_B,0.14395319177284405,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_1_C,0.8978404309452155,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_1_C_2ndInj,2.6949521241507948,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_2_A,0.9249974595385113,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_2_B,1.026152977242046,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_2_C,1.8846929554544556,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_3_A,1.9063409230810962,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_3_B,0.15140647504843843,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_3_C,0.11099354602369077,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_4_A,0.14033491771489037,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_4_B,0.09481650035878796,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_4_C,0.40151190275037724,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_5_A,0.28669158611763434,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_5_B,0.06126908927167638,NA
"Glycine betaine 0(15N), 0(13C)",230831_Smp_LabBlk_5_C,0.048905878735470865,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_1,0.013668703384410721,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_2,0.038233830551714656,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_3,255.80566059756694,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_1,0.188925558191997,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_2,0.17516953184267114,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_3,0.19010160268820536,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_1,34475.27351281622,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_2,35850.134433654115,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_3,12563.969979364028,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_1,3.8037215382382996,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_2,4.892326521058931,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_3,5.028113671087159,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_H2OinMatrix_1,5.528919699784278e-4,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_H2OinMatrix_2,0.008158957208294817,NA
"Glycine betaine 0(15N), 1(13C)",230831_Std_H2OinMatrix_3,0.19510709348298927,NA
"Glycine betaine 0(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full1,0.18687451334789948,NA
