compound_name,filename,final_nM
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_1,172.49174145790548
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_2,123.39021287638636
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InH2O_3,1427.113607721402
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InMatrix_1,3.109453421159896
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InMatrix_2,11.05117493666898
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix1InMatrix_3,5.725891526928147
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InH2O_1,63849822.42114453
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InH2O_2,66291728.49839619
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InH2O_3,23423790.688851934
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InMatrix_1,7062.540412471216
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InMatrix_2,10.06253469802291
"Glycine betaine 0(15N), 0(13C)",230831_Std_4uMStdsMix2InMatrix_3,9366.121239699882
"Glycine betaine 0(15N), 0(13C)",230831_Std_H2OinMatrix_1,4.4490915997065885
"Glycine betaine 0(15N), 0(13C)",230831_Std_H2OinMatrix_2,11.63719330659596
"Glycine betaine 0(15N), 0(13C)",230831_Std_H2OinMatrix_3,9.767477580214063
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full1,4.441177713231772
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full2,5.400091729602606
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full3,5.605157375083772
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full4,18.729627729028085
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full5,339.19134175804817
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full6,26.198119732004464
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full7,11.245417726565332
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full8,10.500274749402081
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full9,21.119086761001412
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full10,18.07073406817574
"Glycine betaine 0(15N), 0(13C)",230831_Poo_G5_NFEX-CatEx_Full11,13.408643918044813
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T0_Metab_A,1.883670767196015
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T0_Metab_B,6.375350026484103
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T0_Metab_C,5.09057599859445
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_A,0.931795839143529
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_B,28.97346692890734
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NH4_Metab_C,12.488114224282757
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_A,547.2024844395905
"Glycine betaine 0(15N), 0(13C)",230831_Smp_G5_NFEX_T6_NO3_Metab_B,1.053290778190898
