filename,compound_name,bmised_area
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Carnitine 0(15N), 0(13C)",17764.32130471426
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Carnitine 0(15N), 0(13C)",11699.931700296003
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Carnitine 0(15N), 0(13C)",11240.233276268636
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Carnitine 0(15N), 0(13C)",25038.049343741644
230810_Poo_G5_NFEX_Full1,"Carnitine 0(15N), 0(13C)",490999.5905318622
230810_Poo_G5_NFEX_Full10,"Carnitine 0(15N), 0(13C)",474267.9403836938
230810_Poo_G5_NFEX_Full11,"Carnitine 0(15N), 0(13C)",466211.05756676674
230810_Poo_G5_NFEX_Full2,"Carnitine 0(15N), 0(13C)",496130.80585935724
230810_Poo_G5_NFEX_Full3,"Carnitine 0(15N), 0(13C)",539497.0114614915
230810_Poo_G5_NFEX_Full4,"Carnitine 0(15N), 0(13C)",533099.9234067927
230810_Poo_G5_NFEX_Full5,"Carnitine 0(15N), 0(13C)",476116.8278594357
230810_Poo_G5_NFEX_Full6,"Carnitine 0(15N), 0(13C)",480453.7279402049
230810_Poo_G5_NFEX_Full7,"Carnitine 0(15N), 0(13C)",490135.9926015251
230810_Poo_G5_NFEX_Full8,"Carnitine 0(15N), 0(13C)",459269.5168952822
230810_Poo_G5_NFEX_Full9,"Carnitine 0(15N), 0(13C)",460537.14900739177
230810_Smp_G5_NFEX_T0_Metab_A,"Carnitine 0(15N), 0(13C)",1131757.1247640583
230810_Smp_G5_NFEX_T0_Metab_B,"Carnitine 0(15N), 0(13C)",1168364.4846692306
230810_Smp_G5_NFEX_T0_Metab_C,"Carnitine 0(15N), 0(13C)",1374667.1768427566
230810_Smp_G5_NFEX_T12_NH4_Metab_A,"Carnitine 0(15N), 0(13C)",459107.17515440495
230810_Smp_G5_NFEX_T12_NH4_Metab_B,"Carnitine 0(15N), 0(13C)",440701.2594185155
230810_Smp_G5_NFEX_T12_NH4_Metab_C,"Carnitine 0(15N), 0(13C)",424701.6803850046
230810_Smp_G5_NFEX_T12_NO3_Metab_A,"Carnitine 0(15N), 0(13C)",736917.9489150287
230810_Smp_G5_NFEX_T12_NO3_Metab_B,"Carnitine 0(15N), 0(13C)",434330.36054756073
230810_Smp_G5_NFEX_T12_NO3_Metab_C,"Carnitine 0(15N), 0(13C)",562639.6286926753
230810_Smp_G5_NFEX_T12_Urea_Metab_A,"Carnitine 0(15N), 0(13C)",690927.3628447935
230810_Smp_G5_NFEX_T12_Urea_Metab_B,"Carnitine 0(15N), 0(13C)",452860.7788069192
230810_Smp_G5_NFEX_T12_Urea_Metab_C,"Carnitine 0(15N), 0(13C)",918253.7719485027
230810_Smp_G5_NFEX_T24_NH4_Metab_A,"Carnitine 0(15N), 0(13C)",472497.2587870107
230810_Smp_G5_NFEX_T24_NH4_Metab_B,"Carnitine 0(15N), 0(13C)",429776.70571072213
230810_Smp_G5_NFEX_T24_NH4_Metab_C,"Carnitine 0(15N), 0(13C)",518300.0503850157
230810_Smp_G5_NFEX_T24_NO3_Metab_A,"Carnitine 0(15N), 0(13C)",522662.5996744944
230810_Smp_G5_NFEX_T24_NO3_Metab_B,"Carnitine 0(15N), 0(13C)",514830.1526222633
230810_Smp_G5_NFEX_T24_NO3_Metab_C,"Carnitine 0(15N), 0(13C)",397798.3863465616
230810_Smp_G5_NFEX_T24_Urea_Metab_A,"Carnitine 0(15N), 0(13C)",447255.5541646723
230810_Smp_G5_NFEX_T24_Urea_Metab_B,"Carnitine 0(15N), 0(13C)",438847.36606409866
230810_Smp_G5_NFEX_T24_Urea_Metab_C,"Carnitine 0(15N), 0(13C)",664836.0125551039
230810_Smp_G5_NFEX_T6_NH4_Metab_A,"Carnitine 0(15N), 0(13C)",277227.83678504283
230810_Smp_G5_NFEX_T6_NH4_Metab_B,"Carnitine 0(15N), 0(13C)",460910.77991482354
230810_Smp_G5_NFEX_T6_NH4_Metab_C,"Carnitine 0(15N), 0(13C)",509184.42433408485
230810_Smp_G5_NFEX_T6_NO3_Metab_A,"Carnitine 0(15N), 0(13C)",361753.07905111095
230810_Smp_G5_NFEX_T6_NO3_Metab_B,"Carnitine 0(15N), 0(13C)",287236.26484265394
230810_Smp_G5_NFEX_T6_NO3_Metab_C,"Carnitine 0(15N), 0(13C)",513028.9267768853
230810_Smp_G5_NFEX_T6_Urea_Metab_A,"Carnitine 0(15N), 0(13C)",400190.6974148388
230810_Smp_G5_NFEX_T6_Urea_Metab_B,"Carnitine 0(15N), 0(13C)",504054.9289209378
230810_Smp_G5_NFEX_T6_Urea_Metab_C,"Carnitine 0(15N), 0(13C)",299448.1452621296
