filename,compound_name,area,cmpd_type,samp_type,day
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",22658.744387646864,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Carnitine 0(15N), 0(13C)",17362.751414497867,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_NO3_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",17183.342349741368,Non-IS,Blk,24
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",34266.09119779476,Non-IS,Blk,24
230810_Poo_G5_NFEX_Full1.mzML,"Carnitine 0(15N), 0(13C)",731172.6980944984,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 0(15N), 0(13C)",632407.7229342246,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full11.mzML,"Carnitine 0(15N), 0(13C)",612659.5733037266,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 0(15N), 0(13C)",859625.4634179836,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full3.mzML,"Carnitine 0(15N), 0(13C)",750590.5402774776,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full4.mzML,"Carnitine 0(15N), 0(13C)",749755.1004374665,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full5.mzML,"Carnitine 0(15N), 0(13C)",680533.943574661,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full6.mzML,"Carnitine 0(15N), 0(13C)",651757.0497880819,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full7.mzML,"Carnitine 0(15N), 0(13C)",680357.4242377752,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full8.mzML,"Carnitine 0(15N), 0(13C)",614574.6699492686,Non-IS,Poo,NA
230810_Poo_G5_NFEX_Full9.mzML,"Carnitine 0(15N), 0(13C)",611653.145292514,Non-IS,Poo,NA
230810_Smp_G5_NFEX_T0_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1584572.1709657782,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1656492.3988456056,Non-IS,Smp,0
230810_Smp_G5_NFEX_T0_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1971894.934797793,Non-IS,Smp,0
230810_Smp_G5_NFEX_T12_NH4_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",526797.4204218643,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",672426.3652695616,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NH4_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",600473.6063801864,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",981179.5378306096,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",625932.3396815744,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_NO3_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",795592.6536633498,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",965406.4383456004,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",533710.1401186007,Non-IS,Smp,12
230810_Smp_G5_NFEX_T12_Urea_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1207353.5076835677,Non-IS,Smp,12
230810_Smp_G5_NFEX_T24_NH4_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",692789.0378987445,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NH4_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",620490.7438606138,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NH4_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",782178.899903823,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",699454.4512669006,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",731743.7250269998,Non-IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",583598.5686964843,Non-IS,Smp,24
