filename,compound_name,conc_um
230810_Blk_G5_NFEX_T24_NH4_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Blk_G5_NFEX_T24_NH4_Blk_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Blk_G5_NFEX_T24_NO3_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full1.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full11.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full3.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full4.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full5.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full6.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full7.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full8.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full9.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T0_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T0_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T0_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_NH4_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_NH4_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_NH4_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_NO3_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_NO3_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_NO3_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_Urea_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_Urea_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T12_Urea_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_NH4_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_NH4_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_NH4_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_NO3_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_NO3_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_NO3_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_Urea_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_Urea_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T24_Urea_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_NH4_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_NH4_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_NH4_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_NO3_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_NO3_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_NO3_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_Urea_Metab_A.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_Urea_Metab_B.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Smp_G5_NFEX_T6_Urea_Metab_C.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix1InH2O_1.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix1InH2O_2.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix1InH2O_3.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix1InMatrix_1.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix1InMatrix_2.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix1InMatrix_3.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix2InH2O_1.mzML,"Carnitine 0(15N), 0(13C)",NA
230810_Std_4uMStdsMix2InH2O_2.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix2InMatrix_1.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix2InMatrix_2.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_4uMStdsMix2InMatrix_3.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_H2OinMatrix_1.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_H2OinMatrix_2.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Std_H2OinMatrix_3.mzML,"Carnitine 0(15N), 0(13C)",1
230810_Poo_G5_NFEX_Full1.mzML,"Carnitine 0(15N), 1(13C)",2.269258692258098
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 0(15N), 1(13C)",2.4532193709835406
230810_Poo_G5_NFEX_Full11.mzML,"Carnitine 0(15N), 1(13C)",2.449302757705516
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 0(15N), 1(13C)",1.7637744927719663
230810_Poo_G5_NFEX_Full3.mzML,"Carnitine 0(15N), 1(13C)",0.07457482002733061
230810_Poo_G5_NFEX_Full4.mzML,"Carnitine 0(15N), 1(13C)",0.08474286323175412
230810_Poo_G5_NFEX_Full5.mzML,"Carnitine 0(15N), 1(13C)",0.07907242865938251
230810_Poo_G5_NFEX_Full6.mzML,"Carnitine 0(15N), 1(13C)",0.0549840308918598
230810_Poo_G5_NFEX_Full7.mzML,"Carnitine 0(15N), 1(13C)",0.065823992180495
230810_Poo_G5_NFEX_Full8.mzML,"Carnitine 0(15N), 1(13C)",0.05985940762283472
230810_Poo_G5_NFEX_Full9.mzML,"Carnitine 0(15N), 1(13C)",0.06330018547207353
230810_Smp_G5_NFEX_T0_Metab_A.mzML,"Carnitine 0(15N), 1(13C)",0.1780636523587429
230810_Smp_G5_NFEX_T0_Metab_B.mzML,"Carnitine 0(15N), 1(13C)",0.17918205175167387
230810_Smp_G5_NFEX_T0_Metab_C.mzML,"Carnitine 0(15N), 1(13C)",0.2363575525548483
230810_Smp_G5_NFEX_T12_NH4_Metab_A.mzML,"Carnitine 0(15N), 1(13C)",0.0625766188249991
230810_Smp_G5_NFEX_T12_NH4_Metab_B.mzML,"Carnitine 0(15N), 1(13C)",0.03009515971655325
