compound_name,filename,nM,hour
"Carnitine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_NH4_Blk_A,5.005836272835337e-4,T24
"Carnitine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_NH4_Blk_B,3.2969423087103876e-4,T24
"Carnitine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_NO3_Blk_A,3.167403160769467e-4,T24
"Carnitine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_Urea_Blk_A,7.05551163233472e-4,T24
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full1,0.013835955329064169,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full10,0.013364471506071927,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full11,0.01313743532743529,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full2,0.013980548659535439,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full3,0.015202571844630546,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full4,0.015022307285825057,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full5,0.013416571599465327,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full6,0.013538781794628908,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full7,0.01381161986602748,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full8,0.01294182855199683,NA
"Carnitine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full9,0.01297754935831733,NA
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T0_Metab_A,0.03189196350372408,T0
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T0_Metab_B,0.03292352810404134,T0
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T0_Metab_C,0.03873696438427658,T0
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T12_NH4_Metab_A,0.012937253898334925,T12
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T12_NH4_Metab_B,0.012418590679825049,T12
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T12_NH4_Metab_C,0.011967736004871663,T12
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T12_NO3_Metab_A,0.020765727750056615,T12
"Carnitine 0(15N), 0(13C)",230810_Smp_G5_NFEX_T12_NO3_Metab_B,0.012239064110181618,T12
