filename,compound_name,bmised_area
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",4994966226.454079
230810_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",5310850720.84692
230810_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",7330021382.75417
230810_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",2492731796.4192758
230810_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",2567422756.283187
230810_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",2776872024.704511
230810_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",888801495396.6664
230810_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",2138461458280.047
230810_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",13112138680384.352
230810_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",4504252785.015836
230810_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",5331880462.302135
230810_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",5542402249.645375
230810_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",2553839071.131766
230810_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",2665055391.1443043
230810_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",2697655862.087541
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Glycine betaine 0(15N), 0(13C)",68805689.93388432
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Glycine betaine 0(15N), 0(13C)",87913993.3465352
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Glycine betaine 0(15N), 0(13C)",73926738.33786696
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Glycine betaine 0(15N), 0(13C)",216215356.43867168
230810_Poo_G5_NFEX_Full1,"Glycine betaine 0(15N), 0(13C)",2474670512.766486
230810_Poo_G5_NFEX_Full2,"Glycine betaine 0(15N), 0(13C)",2579005608.8285847
230810_Poo_G5_NFEX_Full3,"Glycine betaine 0(15N), 0(13C)",2470498734.81116
230810_Poo_G5_NFEX_Full4,"Glycine betaine 0(15N), 0(13C)",2565037209.312859
230810_Poo_G5_NFEX_Full5,"Glycine betaine 0(15N), 0(13C)",2528424193.909388
230810_Poo_G5_NFEX_Full6,"Glycine betaine 0(15N), 0(13C)",2564690612.1989465
230810_Poo_G5_NFEX_Full7,"Glycine betaine 0(15N), 0(13C)",2635303274.6963606
230810_Poo_G5_NFEX_Full8,"Glycine betaine 0(15N), 0(13C)",2604196768.1198573
