filename,compound_name,area,cmpd_type,samp_type,day
230810_Std_4uMStdsMix1InH2O_1,"Arsenobetaine, 13C2",6988559,IS,Std,NA
230810_Std_4uMStdsMix1InH2O_2,"Arsenobetaine, 13C2",6944015,IS,Std,NA
230810_Std_4uMStdsMix1InH2O_3,"Arsenobetaine, 13C2",6058090,IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_1,"Arsenobetaine, 13C2",448062304,IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_2,"Arsenobetaine, 13C2",365337984,IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_3,"Arsenobetaine, 13C2",331724640,IS,Std,NA
230810_Std_4uMStdsMix2InH2O_1,"Arsenobetaine, 13C2",1306156,IS,Std,NA
230810_Std_4uMStdsMix2InH2O_2,"Arsenobetaine, 13C2",559955,IS,Std,NA
230810_Std_4uMStdsMix2InH2O_3,"Arsenobetaine, 13C2",83238,IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_1,"Arsenobetaine, 13C2",475304320,IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_2,"Arsenobetaine, 13C2",398731968,IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_3,"Arsenobetaine, 13C2",391831840,IS,Std,NA
230810_Std_H2OinMatrix_1,"Arsenobetaine, 13C2",517286688,IS,Std,NA
230810_Std_H2OinMatrix_2,"Arsenobetaine, 13C2",392321088,IS,Std,NA
230810_Std_H2OinMatrix_3,"Arsenobetaine, 13C2",385087424,IS,Std,NA
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Arsenobetaine, 13C2",591801344,IS,Blk,24
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Arsenobetaine, 13C2",688531712,IS,Blk,24
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Arsenobetaine, 13C2",709285440,IS,Blk,24
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Arsenobetaine, 13C2",634969408,IS,Blk,24
230810_Poo_G5_NFEX_Full1,"Arsenobetaine, 13C2",690919680,IS,Poo,NA
230810_Poo_G5_NFEX_Full2,"Arsenobetaine, 13C2",803899584,IS,Poo,NA
