filename,compound_name,conc_um
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",4
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full1,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full2,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full3,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full4,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full5,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full6,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full7,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full8,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full9,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full10,"Glycine betaine 0(15N), 0(13C)",4
230810_Poo_G5_NFEX_Full11,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230810_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 1(13C)",0.0022685580725457064
