compound_name,filename,nM,hour
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix1InH2O_1,2.5551561212075353,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix1InH2O_2,2.7167456421071385,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix1InH2O_3,3.7496447734787557,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix1InMatrix_1,1.275147542423113,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix1InMatrix_2,1.3133554210438698,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix1InMatrix_3,1.4204984038041573,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix2InH2O_1,454.6630504673907,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix2InH2O_2,1093.9218880303852,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix2InH2O_3,6707.465054291331,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix2InMatrix_1,2.3041335122839413,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix2InMatrix_2,2.727503326978384,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_4uMStdsMix2InMatrix_3,2.8351949527452907,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_H2OinMatrix_1,1.3064067381720244,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_H2OinMatrix_2,1.3632990269232834,NA
"Glycine betaine 0(15N), 0(13C)",230810_Std_H2OinMatrix_3,1.3799756747940328,NA
"Glycine betaine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_NH4_Blk_A,0.035197291000159385,T24
"Glycine betaine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_NH4_Blk_B,0.044972071492596535,T24
"Glycine betaine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_NO3_Blk_A,0.03781694398342398,T24
"Glycine betaine 0(15N), 0(13C)",230810_Blk_G5_NFEX_T24_Urea_Blk_A,0.11060414954908206,T24
"Glycine betaine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full1,1.2659083609371846,NA
"Glycine betaine 0(15N), 0(13C)",230810_Poo_G5_NFEX_Full2,1.3192805855476202,NA
