Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC_Pos_Standards,230705_Std_4uMStdsMix1InH2O_1,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix1InH2O_2,L-Homocystine,12.56,933870,0,58856,-1.1,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix1InMatrix_1,L-Homocystine,12.44,680664,782293,95837,-1.1,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix1InMatrix_2,L-Homocystine,12.34,2965662,202893,165622,-1.8,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix2InH2O_1,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix2InH2O_2,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix2InMatrix_1,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_4uMStdsMix2InMatrix_2,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_H2OinMatrix_1,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Std_H2OinMatrix_2,L-Homocystine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Blk_FilterBlk_1,L-Homocystine,12.36,7769,0,6190,-6.4,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Blk_MBlk_P_1,L-Homocystine,12.53,8072,0,6555,-6.8,HILIC_Pos_Standards
HILIC_Pos_Standards,230705_Blk_MBlk_P_2,L-Homocystine,12.61,11436,0,11637,-0.5,HILIC_Pos_Standards
