compound_name,filename,nM
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D0_P_A,11759126785942348
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D0_P_B,12790253722510152
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D0_P_C,9826224738385920
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D0_P_A,36425074212119136
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D0_P_B,31398080163775644
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D0_P_C,38611771886954904
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D3_P_A,256073938031584600
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D3_P_B,5.9626569929922406e+17
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D3_P_C,118029359507303660
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D4_P_A,2.3718162333966118e+17
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D4_P_B,285431072628048800
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D4_P_C,243456612629135680
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D4_P_A,715763715072360700
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D4_P_B,1694803160299479800
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D4_P_C,536785997824375040
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D5_P_A,477313338297026560
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D5_P_B,495583253794239360
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D5_P_C,452910585771750400
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D5_P_A,2086025451141495e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D5_P_B,2092846940415829e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D5_P_C,1365201764105962e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D6_P_A,1.0812960508326961e+18
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D6_P_B,1149738446231811e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D6_P_C,1315828148770241300
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D6_P_A,3911587204308524e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D6_P_B,2519109584096393700
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D6_P_C,740624440442039700
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D7_P_A,485681002647219e4
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D7_P_B,4229136590071510500
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D7_P_C,4967628318023157e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D7_P_A,11800297764120633e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D7_P_B,743001471842363e4
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D7_P_C,1164724183050245e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D10_P_A,24704208033102774e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D10_P_B,1926290760876388e4
(3-Carboxypropyl)trimethylammonium,230705_Smp_1335_D10_P_C,265572080744131970
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D11_P_A,2529679925999492e3
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D11_P_B,1505839710858380300
(3-Carboxypropyl)trimethylammonium,230705_Smp_1005_D11_P_C,1694172725158545400
(3-Carboxypropyl)trimethylammonium,230705_Blk_FilterBlk_1,46791303399426.695
(3-Carboxypropyl)trimethylammonium,230705_Blk_MBlk_P_1,NA
(3-Carboxypropyl)trimethylammonium,230705_Blk_MBlk_P_2,74082882600966.61
(3-Carboxypropyl)trimethylammonium,230705_Blk_MBlk_P_3,NA
(3-Carboxypropyl)trimethylammonium,230705_Blk_MBlk_P_4,NA
(3-Carboxypropyl)trimethylammonium,230705_Blk_MBlk_P_5,NA
(3-Carboxypropyl)trimethylammonium,230705_Blk_MBlk_P_6,90842657876087.95
(3-Carboxypropyl)trimethylammonium,230705_Poo_CRR_Full1,2027985683556439300
(3-Carboxypropyl)trimethylammonium,230705_Poo_CRR_Full2,2147411497352302800
(3-Carboxypropyl)trimethylammonium,230705_Poo_CRR_Full3,2214329459277290500
(3-Carboxypropyl)trimethylammonium,230705_Poo_CRR_Half1,2112391416913082600
(3-Carboxypropyl)trimethylammonium,230705_Poo_CRR_Half2,2193847048422853400
